accession,sample_name,read_count,location,site,field_campaign,conductivity,pH,alkalinity,hardness,sodium,magnesium,calcium,potassium,chloride,nitrate,sulfate,ammonium,phosphate,total_phosphorus,silicic_acid,total_inorganic_carbon,3.1.6.1,rate_constants
SAMN37257466,alt_up1_1,92491905,Alt,up,3,392.0,8.26,4.594,2.291,5.187,8.705,74.701,1.312,2.843,0.981,5.393,3.7,5.0,13.7,6.712,55.128,2.47,0.0010975053714356
SAMN37257467,alt_up1_2,113332348,Alt,up,3,392.0,8.26,4.594,2.291,5.187,8.705,74.701,1.312,2.843,0.981,5.393,3.7,5.0,13.7,6.712,55.128,2.02,0.0010975053714356
SAMN37257468,alt_up2_1,120534157,Alt,up,3,424.6,8.13,4.836,2.485,4.891,8.155,83.656,1.93,2.943,1.028,11.943,11.0,6.875,18.7,7.107,58.032,1.4100000000000001,0.0010975053714356
SAMN37257469,alt_up2_3,93114524,Alt,up,3,424.6,8.13,4.836,2.485,4.891,8.155,83.656,1.93,2.943,1.028,11.943,11.0,6.875,18.7,7.107,58.032,0.9,0.0011959819762652
SAMN37257470,alt_dw1_1,106781940,Alt,dw,3,425.8,8.12,4.827,2.485,4.788,8.554,84.112,2.012,3.092,1.081,11.445,13.7,5.375,18.4,7.547,57.924,0.61,0.0010975053714356
SAMN37257471,alt_dw1_3,104205985,Alt,dw,3,425.8,8.12,4.827,2.485,4.788,8.554,84.112,2.012,3.092,1.081,11.445,13.7,5.375,18.4,7.547,57.924,0.68,0.0010975053714356
SAMN37257472,alt_dw2_1,111096339,Alt,dw,3,432.4,8.17,4.829,2.507,5.754,8.875,83.573,2.094,5.4,1.488,11.381,11.8,7.375,25.1,7.988,57.948,2.0,0.0281747370724193
SAMN37257473,alt_dw2_2,89908101,Alt,dw,3,432.4,8.17,4.829,2.507,5.754,8.875,83.573,2.094,5.4,1.488,11.381,11.8,7.375,25.1,7.988,57.948,1.31,0.0102111014510247
SAMN37257474,alt_dw3_1,69750333,Alt,dw,3,436.0,8.16,4.857,2.525,5.816,8.932,84.403,2.131,5.551,1.511,11.458,7.3,6.875,16.1,7.963,58.284,1.95,0.0128043886744796
SAMN37257475,alt_dw3_2,103118800,Alt,dw,3,436.0,8.16,4.857,2.525,5.816,8.932,84.403,2.131,5.551,1.511,11.458,7.3,6.875,16.1,7.963,58.284,2.0700000000000003,0.0103429456018616
SAMN37257476,air_dw2_1,103204697,Air,dw,1,720.2,8.1,1.43,4.22,5.114,20.606,134.425,3.159,7.763,0.586,339.9,71.8,7.75,30.1,7.137,17.16,169.26,0.0202803808469004
SAMN37257487,air_dw2_2,98254319,Air,dw,1,720.2,8.1,1.43,4.22,5.114,20.606,134.425,3.159,7.763,0.586,339.9,71.8,7.75,30.1,7.137,17.16,29.240000000000002,0.0024493787966464
SAMN37257493,air_dw3_1,101795997,Air,dw,1,737.0,8.12,1.475,4.345,4.957,21.327,133.613,3.128,7.54,0.46,351.3,13.7,3.0,10.7,7.202,17.7,36.910000000000004,0.0049039661848482
