accession,sample_name,read_count,location,site,field_campaign,conductivity,pH,alkalinity,hardness,sodium,magnesium,calcium,potassium,chloride,nitrate,sulfate,ammonium,phosphate,total_phosphorus,silicic_acid,total_inorganic_carbon,1.14.12.7,1.14.12.17,"1.14.12.1,1.14.13.172","1.14.12.1,1.14.12.15,1.14.13.172",1.14.12.10,"1.14.12.7,1.14.13.82","1.14.12.1,1.14.12.15",rate_constants
SAMN37257468,alt_up2_1,120534157,Alt,up,3,424.6,8.13,4.836,2.485,4.891,8.155,83.656,1.93,2.943,1.028,11.943,11.0,6.875,18.7,7.107,58.032,2.65,0.07,0.9700000000000001,0.0,1.6600000000000001,3.37,0.0,0.0020183326589846
SAMN37257469,alt_up2_3,93114524,Alt,up,3,424.6,8.13,4.836,2.485,4.891,8.155,83.656,1.93,2.943,1.028,11.943,11.0,6.875,18.7,7.107,58.032,3.2199999999999998,0.0,1.01,0.0,4.66,7.71,0.0,0.0030870062664423
SAMN37257470,alt_dw1_1,106781940,Alt,dw,3,425.8,8.12,4.827,2.485,4.788,8.554,84.112,2.012,3.092,1.081,11.445,13.7,5.375,18.4,7.547,57.924,0.89,0.06,0.45,0.0,0.49,1.65,0.0,0.0016273151420622
SAMN37257471,alt_dw1_3,104205985,Alt,dw,3,425.8,8.12,4.827,2.485,4.788,8.554,84.112,2.012,3.092,1.081,11.445,13.7,5.375,18.4,7.547,57.924,2.42,0.2,1.39,0.0,0.6299999999999999,2.14,0.0,0.002195152480048
SAMN37257472,alt_dw2_1,111096339,Alt,dw,3,432.4,8.17,4.829,2.507,5.754,8.875,83.573,2.094,5.4,1.488,11.381,11.8,7.375,25.1,7.988,57.948,1.2,0.54,0.43,0.0,0.56,1.9,0.0,0.0151118175555869
SAMN37257473,alt_dw2_2,89908101,Alt,dw,3,432.4,8.17,4.829,2.507,5.754,8.875,83.573,2.094,5.4,1.488,11.381,11.8,7.375,25.1,7.988,57.948,1.36,0.33999999999999997,0.5900000000000001,0.0,0.72,2.04,0.07,0.0124446609161533
SAMN37257474,alt_dw3_1,69750333,Alt,dw,3,436.0,8.16,4.857,2.525,5.816,8.932,84.403,2.131,5.551,1.511,11.458,7.3,6.875,16.1,7.963,58.284,3.09,0.43,1.1500000000000001,0.0,1.17,2.5300000000000002,0.11,0.0205661312699735
SAMN37257475,alt_dw3_2,103118800,Alt,dw,3,436.0,8.16,4.857,2.525,5.816,8.932,84.403,2.131,5.551,1.511,11.458,7.3,6.875,16.1,7.963,58.284,5.18,0.35,1.81,0.0,2.15,2.48,0.07,0.0243091556931722
SAMN37257476,air_dw2_1,103204697,Air,dw,1,720.2,8.1,1.43,4.22,5.114,20.606,134.425,3.159,7.763,0.586,339.9,71.8,7.75,30.1,7.137,17.16,8.48,20.79,18.96,1.49,36.400000000000006,21.34,0.0,0.0073285671542732
SAMN37257487,air_dw2_2,98254319,Air,dw,1,720.2,8.1,1.43,4.22,5.114,20.606,134.425,3.159,7.763,0.586,339.9,71.8,7.75,30.1,7.137,17.16,16.040000000000003,5.47,25.189999999999998,1.73,3.55,18.580000000000002,0.0,0.0036582750895046
SAMN37257493,air_dw3_1,101795997,Air,dw,1,737.0,8.12,1.475,4.345,4.957,21.327,133.613,3.128,7.54,0.46,351.3,13.7,3.0,10.7,7.202,17.7,40.24,13.559999999999999,61.04,2.59,8.09,12.43,0.0,0.0051195180009892
