loc_batch,"4-Chloro-N,N-dimethylbenzamide",Acesulfame,Amisulpride,Atrazine,Bentazon,Bromoxynil,Carbendazim,Carbetamide,Chlorotoluron,Clofibric acid,Clomazone,Clomethiazole,Cyclophosphamide,Diazepam,Diuron,Emtricitabine,Febuxostat,Fexofenadine,Ifosfamide,Isoproturon,Lamotrigine,Mesotrione,Metoxuron,Moclobemide,Olmesartan,Pirfenidone,Primidone,Simeton,Tebutam,Terbuthylazine,Torsemide,Vildagliptin,Carbamazepine,Crotamiton,Dimefuron,Oseltamivir,Sotalol,Acetamiprid,Pantoprazole,Dimethenamid,Monuron,DEET,Clopidogrel carboxylic acid,Naproxen,Iprovalicarb,Perindopril,Napropamide,Metolachlor,Lamivudine,Diclofenac,Mecoprop,Rosuvastatin,Flufenacet,Terbutryn,Tramadol,Prometryn,Rivaroxaban,Mefenamic acid,Ketoprofen,Valsartan,Saccharin,Sitagliptin,Losartan,Pseudoephedrine,Venlafaxine,Ganciclovir,Codeine,Cyclamate,Pravastatin,Darunavir,Albuterol,Ketamine,Etodolac,Apalutamide,Picoxystrobin,Metoclopramide,Sacubitril,Furosemide,Capecitabine,Fenhexamid,Icaridin,Bezafibrate,Sulfamethazine,Trinexapac-ethyl,Gliclazide,Sulfamethoxazole,Pargyline,Levetiracetam,Sulfadiazine,Rivastigmine,Ranitidine,Levamisole,Abacavir,Alachlor,Quetiapine,Benzophenone,Mexiletine,Rufinamide,Doxylamine,Sulfapyridine,Trazodone,Mirtazapine,Sulfathiazole,Metoprolol,Fludioxonil,Deprenyl,Naloxegol,Lisinopril,Mycophenolic acid,Naloxone,Atenolol,Caffeine,Propachlor,Mirabegron,Paracetamol,Morphine,Pioglitazone,Fenoxycarb,Vorinostat,Tenofovir,Cilastatin,Normorphine
oli_dw3_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.009,0.005,0.005,,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.005,0.005,0.005,0.005,0.021,0.005,0.005,0.005,0.005,0.009,0.015,0.005,0.017,,0.005,0.021,0.005,0.007,0.009,0.008,0.012,0.01,0.005,0.008,0.005,0.005,0.024,0.013,0.02,0.023,0.005,0.035,0.015,0.005,0.005,0.008,0.005,0.005,0.005,0.013,0.025,0.032,0.006,0.012,0.031,0.015,,0.036,0.005
oli_dw3_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.011,0.005,0.005,,0.005,0.005,0.005,0.006,0.005,0.008,0.007,0.006,0.005,0.005,0.005,0.025,0.005,0.005,0.005,0.005,0.006,0.007,0.005,0.009,,0.005,0.008,0.005,0.008,0.011,0.007,0.014,0.014,0.005,0.009,0.005,0.005,0.013,0.016,0.022,0.015,0.005,0.051,0.021,0.005,0.005,0.011,0.007,0.005,0.006,0.01,0.033,0.026,0.007,0.009,0.035,0.013,,0.014,
kol_up1_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,0.005,0.005,0.005,0.005,0.005,0.005,0.008,0.008,0.006,0.005,0.005,0.005,0.013,0.007,0.021,0.008,0.005,0.006,0.005,0.009,0.005,0.021,0.009,0.005,0.051,0.005,0.015,0.005,0.005,,0.009,0.011,0.138,0.005,0.037,0.009,0.026,0.099,0.005,0.014,0.01,0.005,0.02,0.02,0.005,0.008,0.034,0.01,0.016,0.017,0.009,0.029,0.019,0.182,0.012,0.007,0.013,0.01,0.01,0.036,0.01,0.025,0.025,0.687,0.167,0.072,0.115,0.044,0.084,,0.524,0.505,0.748,0.776,0.33,0.052,2.303,0.968
kol_up1_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,0.005,0.005,0.005,0.005,0.005,0.005,0.013,0.016,0.01,0.005,0.005,0.005,0.032,0.01,0.085,0.013,0.005,0.007,0.005,0.013,0.005,0.077,0.014,0.005,0.113,0.005,0.022,0.005,0.005,0.005,0.011,0.012,0.178,0.005,0.089,0.012,0.033,0.122,0.005,0.021,0.017,0.005,0.023,0.021,0.005,0.008,0.039,0.011,0.03,0.022,0.012,0.04,0.023,0.197,0.011,0.008,0.018,0.014,0.011,0.059,0.011,0.031,0.021,1.051,0.252,0.105,0.177,0.08,0.134,,0.731,0.554,1.261,1.182,0.346,0.047,2.303,0.948
kol_up2_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.005,0.005,0.005,0.01,0.005,0.017,0.012,0.005,0.005,0.005,0.007,0.005,0.016,0.012,0.005,0.042,0.005,0.007,0.005,0.005,0.007,0.007,0.011,0.085,0.005,0.027,0.006,0.029,0.092,0.005,0.012,0.009,0.005,0.013,0.019,0.005,0.008,0.032,0.012,0.022,0.012,0.007,0.024,0.016,0.093,0.012,0.007,0.012,0.013,0.012,0.024,0.011,0.018,0.026,0.582,0.099,0.041,0.09,0.046,0.055,,0.354,0.185,0.493,0.565,0.11,0.055,2.303,0.467
air_up1_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.01,0.005,0.006,0.005,0.005,0.005,0.01,0.006,0.023,0.01,0.008,0.008,0.005,0.006,0.007,0.029,0.005,0.005,0.007,0.01,0.005,0.006,0.006,0.005,0.006,0.043,0.013,0.022,0.011,0.007,,0.013,0.019,0.005,0.045,0.011,0.017,,0.013,0.053,0.012,0.013,0.018,0.007,0.306,0.049,0.027,0.019,,,,0.031,0.076,0.061,,0.961,0.064,0.041
kol_up2_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,0.005,0.005,0.005,0.005,0.005,0.005,0.008,0.01,0.006,0.005,0.005,0.005,0.013,0.007,0.023,0.016,0.005,0.006,0.005,0.008,0.005,0.022,0.013,0.005,0.054,0.005,0.009,0.005,0.005,0.008,0.008,0.011,0.094,0.005,0.034,0.006,0.031,0.108,0.005,0.014,0.009,0.005,0.016,0.021,0.005,0.008,0.045,0.011,0.023,0.013,0.01,0.027,0.017,0.112,0.009,0.007,0.013,0.011,0.012,0.025,0.012,0.019,0.005,0.646,0.118,0.044,0.098,0.042,0.061,,0.75,0.31,0.57,0.616,0.114,0.025,2.303,0.48
kol_dw1_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.011,0.007,0.013,0.005,0.005,0.005,0.005,0.005,0.005,0.007,0.006,0.009,0.005,0.005,0.005,0.005,0.008,0.005,0.023,0.005,0.016,0.005,0.011,0.005,0.011,0.005,0.006,0.005,0.005,0.021,0.006,0.012,0.025,0.031,0.008,0.035,0.047,0.01,0.042,0.006,0.007,0.024,0.011,0.022,0.005,0.088,0.037,0.032,0.031,0.03,0.013,0.024,0.049,0.022,0.017,0.016,0.023,0.016,0.028,0.034,,0.073,0.054,0.021,0.026,0.056,0.005,0.062,0.141
kol_dw1_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.012,0.006,0.013,0.005,0.005,0.005,0.005,0.005,0.005,0.008,0.007,0.006,0.005,0.005,0.005,0.005,0.01,0.005,0.026,0.005,0.006,0.005,0.01,0.005,0.012,0.006,0.009,0.005,0.005,0.026,0.008,0.019,0.036,0.03,0.023,0.046,0.03,0.016,0.039,0.008,0.01,0.025,0.021,0.02,0.005,0.034,0.038,0.037,0.035,0.038,0.01,0.028,0.051,0.022,0.005,0.017,0.026,0.023,0.02,0.039,,0.085,0.149,0.032,0.03,0.056,0.096,0.067,0.156
kol_dw2_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.007,0.005,0.005,0.005,0.005,0.005,0.007,0.005,0.005,0.009,0.026,0.008,0.009,0.005,0.008,0.006,0.005,0.009,0.008,0.012,0.008,0.009,0.012,0.007,0.018,0.018,0.015,0.018,0.016,0.012,0.009,0.01,0.015,0.016,0.012,0.016,0.021,0.012,0.019,0.028,0.024,0.023,0.021,0.025,0.059,0.037,0.038,0.06,0.021,0.057,,0.121,0.098,0.082,0.049,0.071,,0.105,0.168
kol_dw2_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.012,0.014,0.005,0.005,0.007,0.007,0.005,0.009,0.011,0.006,0.005,0.011,0.006,0.012,0.076,0.015,0.014,0.017,0.005,0.011,0.013,0.03,0.058,0.007,0.014,0.006,0.005,0.017,0.038,0.006,0.022,0.028,0.02,0.02,0.014,0.009,0.024,0.019,0.055,0.026,0.013,0.015,0.021,0.08,0.032,0.017,0.024,0.033,0.26,0.047,0.051,0.099,0.088,0.071,,0.273,0.099,0.207,0.288,0.066,,0.954,0.171
kol_dw3_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.008,0.006,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.009,0.011,0.005,0.006,0.005,0.005,0.007,0.008,0.017,0.011,0.051,0.021,0.013,0.005,0.009,0.008,0.014,0.008,0.007,0.013,0.01,0.008,0.013,0.026,0.019,0.025,0.054,0.014,0.03,0.017,0.031,0.022,0.035,0.023,0.011,0.09,0.029,0.027,0.026,0.081,0.047,0.017,0.046,0.03,0.031,0.039,0.05,0.067,0.055,0.071,,0.037,0.055,0.1,,0.051,,0.129,0.091
kol_dw3_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.009,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.011,0.013,0.005,0.007,0.005,0.005,0.008,0.008,0.019,0.01,0.064,0.027,0.015,0.005,0.01,0.008,0.014,0.007,0.007,0.015,0.01,0.008,0.014,0.028,0.022,0.027,0.057,0.019,0.033,0.019,0.043,0.025,0.033,0.024,0.01,0.048,0.033,0.028,0.026,0.068,0.047,0.021,0.047,0.034,0.033,0.036,0.049,0.087,0.07,0.076,,0.056,0.071,0.086,0.044,0.065,,0.168,0.131
air_up2_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.007,0.005,0.007,0.006,0.005,0.005,0.005,0.006,0.005,0.006,0.013,0.008,0.005,0.005,0.006,0.015,0.008,0.005,0.005,0.005,0.008,0.01,0.006,0.009,0.006,0.005,0.01,0.016,0.009,0.011,0.009,0.006,,0.005,0.014,0.005,0.027,0.012,0.01,,0.014,0.021,0.021,0.015,0.008,0.005,0.021,0.012,0.01,0.005,0.039,,,0.013,0.032,0.021,0.031,0.445,0.048,0.018
bir_up1_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.008,0.005,0.005,0.005,0.005,0.006,0.005,0.006,0.01,0.017,0.005,0.013,0.005,0.008,0.005,0.007,0.005,0.005,0.005,0.006,0.006,0.005,0.007,0.005,0.005,0.033,0.012,0.017,0.011,0.015,0.012,0.024,0.016,0.012,0.039,0.006,0.014,0.015,0.013,0.034,0.034,0.018,0.033,0.034,0.042,0.034,0.061,0.011,0.064,0.037,0.036,0.075,0.072,0.057,0.05,2.303,0.083,0.122
bir_up1_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.007,0.007,0.006,0.01,0.005,0.005,0.005,0.005,0.009,0.008,0.008,0.013,0.023,0.008,0.016,0.005,0.012,0.007,0.01,0.007,0.005,0.006,0.008,0.009,0.005,0.011,0.005,0.007,0.046,0.017,0.022,0.015,0.025,0.016,0.031,0.02,0.021,0.041,0.008,0.018,0.014,0.019,0.049,0.043,0.022,0.04,0.038,0.05,0.045,0.075,0.015,0.075,0.057,0.045,0.11,0.088,0.07,0.066,2.303,0.099,0.116
bir_up2_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.007,0.007,0.006,0.008,0.005,0.005,0.005,0.005,0.009,0.008,0.01,0.009,0.015,0.007,0.014,0.005,0.014,0.006,0.005,0.009,0.005,0.008,0.009,0.012,0.008,0.013,0.005,0.011,0.03,0.017,0.021,0.014,0.016,0.022,0.024,0.022,0.009,0.033,0.012,0.022,0.019,0.023,0.04,0.039,0.027,0.034,0.013,0.028,0.039,0.061,0.005,0.073,0.039,0.04,0.113,0.071,0.053,0.065,2.303,0.067,0.312
bir_up2_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.013,0.005,0.008,0.005,0.005,0.005,0.005,0.007,0.006,0.009,0.014,0.015,0.005,0.008,0.005,0.027,0.005,0.005,0.005,0.005,0.006,0.008,0.008,0.006,0.008,0.005,0.009,0.047,0.014,0.023,0.007,0.014,0.019,0.014,0.02,0.005,0.037,0.01,0.022,0.018,0.025,0.019,0.076,0.021,0.02,0.005,0.037,0.03,0.013,0.005,0.05,0.063,0.012,0.065,0.012,0.033,0.038,0.91,0.019,0.545
bir_dw1_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.009,0.005,0.01,0.005,0.005,0.005,0.005,0.005,0.011,0.005,0.005,0.005,0.005,0.013,0.006,0.025,0.018,0.02,0.018,0.019,0.005,0.007,0.015,0.006,0.014,0.018,0.007,0.008,0.005,0.005,0.025,0.018,0.025,0.027,0.005,0.022,0.033,0.041,0.019,0.029,0.041,0.01,0.024,0.014,0.023,0.037,0.193,0.014,0.005,0.031,0.005,0.05,0.657
bir_dw1_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.014,0.005,0.014,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.022,0.005,0.008,0.006,0.025,0.005,0.005,0.005,0.007,0.005,0.01,0.005,0.008,0.005,0.005,0.015,0.007,0.025,0.02,0.033,0.029,0.025,0.014,0.011,0.031,0.007,0.009,0.028,0.018,0.023,0.005,0.016,0.031,0.034,0.037,0.029,0.009,0.018,0.049,0.049,0.008,0.033,0.056,0.032,0.055,0.038,0.024,0.077,0.19,0.029,0.038,0.062,0.075,0.069,1.313
bir_dw2_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.011,0.005,0.011,0.005,0.005,0.005,0.005,0.005,0.005,0.012,0.005,0.005,0.005,0.005,0.005,0.005,0.01,0.005,0.021,0.007,0.005,0.005,0.006,0.005,0.018,0.005,0.008,0.005,0.005,0.022,0.007,0.029,0.032,0.028,0.007,0.034,0.005,0.01,0.024,0.008,0.009,0.031,0.012,0.015,0.005,0.005,0.036,0.035,0.034,0.056,0.005,0.043,0.047,0.031,0.006,0.026,0.035,0.012,0.041,0.026,0.035,0.06,0.165,0.026,0.008,0.048,0.015,0.058,0.946
bir_dw2_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.014,0.005,0.005,0.005,0.005,0.005,0.005,0.011,0.005,0.014,0.009,0.005,0.005,0.005,0.005,0.022,0.006,0.009,0.005,0.005,0.028,0.008,0.031,0.033,0.017,0.01,0.038,0.005,0.01,0.018,0.008,0.015,0.03,0.017,0.013,0.005,0.005,0.04,0.027,0.031,0.053,0.005,0.046,0.034,0.028,0.027,0.026,0.035,0.012,0.032,0.036,0.03,0.049,0.372,0.026,0.011,0.047,0.012,0.034,0.656
bir_dw3_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.009,0.005,0.005,0.008,0.005,0.005,0.005,0.009,0.005,0.013,0.007,0.005,0.005,0.005,0.005,0.018,0.006,0.005,0.005,0.005,0.027,0.012,0.021,0.031,0.016,0.005,0.036,0.005,0.007,0.018,0.009,0.03,0.025,0.011,0.016,0.005,0.005,0.042,0.028,0.036,0.041,0.005,0.036,0.036,0.016,0.008,0.016,0.017,0.011,0.017,0.048,0.029,0.039,0.067,0.023,0.013,0.062,,,0.151
bir_dw3_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.012,0.005,0.005,0.006,0.005,0.005,0.005,0.012,0.005,0.005,0.008,0.005,0.005,0.005,0.005,0.022,0.005,0.006,0.005,0.005,0.034,0.011,0.03,0.034,0.005,0.005,0.038,0.005,0.007,0.006,0.009,0.043,0.023,0.007,0.01,0.005,0.005,0.046,0.011,0.014,0.049,0.005,0.047,0.014,0.021,0.011,0.02,0.022,0.011,0.027,0.038,0.033,0.026,0.09,0.021,0.005,0.071,0.005,,0.26
air_up2_r2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.007,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.008,0.008,0.007,0.007,0.005,0.008,0.008,0.014,0.005,0.005,0.006,0.006,0.006,0.006,0.005,0.005,0.006,0.018,0.008,0.007,0.008,0.006,,0.009,0.017,0.005,0.028,0.008,0.013,,0.01,0.025,0.013,0.011,0.01,0.005,0.017,0.019,0.014,0.008,0.042,,,0.015,0.036,0.078,0.029,1.446,0.055,0.02
ehr_up1_r1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.008,0.005,0.006,0.005,0.014,0.005,0.005,0.007,0.018,0.012,0.022,0.005,0.013,0.013,0.048,0.048,0.007,0.012,0.013,0.007,0.012,0.03,0.006,0.017,0.017,0.014,0.029,0.022,0.011,0.023,0.014,0.062,0.028,0.012,0.018,,0.012,0.034,0.011,0.019,0.105,0.124,0.046,0.096,0.092,0.052,0.101,0.232,0.182,0.413,0.302,0.934,0.414,0.041,0.437,0.686
