loc_batch,"4-Chloro-N,N-dimethylbenzamide",Abacavir,Acesulfame,Acetamiprid,Alachlor,Albuterol,Amisulpride,Apalutamide,Atenolol,Atrazine,Bentazon,Benzophenone,Bezafibrate,Bromoxynil,Caffeine,Capecitabine,Carbamazepine,Carbendazim,Carbetamide,Chlorotoluron,Cilastatin,Clofibric acid,Clomazone,Clomethiazole,Clopidogrel carboxylic acid,Codeine,Crotamiton,Cyclamate,Cyclophosphamide,DEET,Darunavir,Deprenyl,Diazepam,Diclofenac,Dimefuron,Dimethenamid,Diuron,Doxylamine,Emtricitabine,Etodolac,Febuxostat,Fenhexamid,Fenoxycarb,Fexofenadine,Fludioxonil,Flufenacet,Furosemide,Ganciclovir,Gliclazide,Icaridin,Ifosfamide,Indomethacin,Iprovalicarb,Isoproturon,Ketamine,Ketoprofen,Lamivudine,Lamotrigine,Levamisole,Levetiracetam,Lisinopril,Losartan,Mecoprop,Mefenamic acid,Mesotrione,Metoclopramide,Metolachlor,Metoprolol,Metoxuron,Mexiletine,Mirabegron,Mirtazapine,Moclobemide,Monuron,Morphine,Mycophenolic acid,Naloxegol,Naloxone,Napropamide,Naproxen,Normorphine,Olmesartan,Oseltamivir,Pantoprazole,Paracetamol,Pargyline,Perindopril,Picoxystrobin,Pioglitazone,Pirfenidone,Pravastatin,Primidone,Prometryn,Propachlor,Pseudoephedrine,Quetiapine,Ranitidine,Rivaroxaban,Rivastigmine,Rosuvastatin,Rufinamide,Saccharin,Sacubitril,Simeton,Sitagliptin,Sotalol,Sulfadiazine,Sulfamethazine,Sulfamethoxazole,Sulfapyridine,Sulfathiazole,Tebutam,Tenofovir,Terbuthylazine,Terbutryn,Torsemide,Tramadol,Trazodone,Trinexapac-ethyl,Valsartan,Venlafaxine,Vildagliptin,Vorinostat
air_dw3_r2,0.0033598492507226,0.008066713029687,0.0027894609974956,0.004548781522752,0.0074620542383364,0.004989227922019,0.0031583454677802,0.0068488681536076,0.0181251654682834,0.0029115840481526,0.0025806934773435,0.0065170394769704,0.0038004702590624,0.0025951229605281,0.0160896150117955,0.0065451599673507,0.0038455061326429,0.0024662009476337,0.0034377979880796,0.0027413167664929,0.048591119502001,0.0027369937477654,0.0015734699504472,0.0019436058819603,0.0043288827078596,0.0049682439700102,0.0035126704004923,0.004048698018549,0.0031834880107506,0.0029151801146588,0.0052136416519086,0.0155960660575813,0.0029087321249143,0.0034394174422129,0.0034011909521848,0.0038859228360816,0.0031830012894971,,0.0035887516305469,0.0068289307319932,0.0032869748643922,0.0100177423923806,0.0768180083003928,0.0032203875738434,0.0157618463657927,0.0010975053714356,0.0116267690607697,0.0057799963957144,0.0074464891879041,0.0047331077893704,0.0022396031471172,0.0010975053714356,0.0047462725913345,0.0032297201286143,0.0061730746453647,0.0025052440090869,0.0033986287063538,0.0031876915799083,0.0087126691153257,0.0028056416130028,0.0056811218784819,0.0054450556404035,0.0025811396667637,0.0040823552621787,0.0026756005574805,0.0056514433423627,0.004038919163139,0.0187310916757702,0.0027892326969956,0.0149262520376842,,,0.0032397165080483,0.0043481118359179,0.0175671011600053,0.0106093261423723,0.0082835481343005,0.0251804105917563,0.0038598953240471,0.0035435977274839,0.0243298166813954,0.0030452675444273,0.0042516533585317,0.0048780084729776,,0.0073397076959104,0.0029746707264419,0.0060270764855387,0.0319889971710086,0.0031434776433296,0.0028656400144448,0.0034617619668792,0.0033977032774858,0.0876929435042021,,,0.0077657964243434,0.005111368685132,0.0142818591874663,0.0031564297291935,0.0036616596659548,0.0041911580607539,0.0052976495178291,0.0027517962757421,0.0038324685904304,0.0032488902016032,0.0074548475354967,0.0087104106143533,0.0091200475501627,0.0113100376187818,0.0129952558482751,0.0027928470331871,0.819047771856623,0.0027465708681347,0.0048035541352462,0.003166482258184,0.0043493461471463,0.015923250534601,0.0125726245119787,0.0027272932514366,0.0057866724841582,0.0031355232729817,0.0444432710656631
oli_up1_r1,0.0024671398355164,0.0184784965743391,0.0018981997326079,0.0038209529410813,0.0170468636199732,0.0021677651472607,0.0021250316052643,0.0055783348409374,0.0068292925988973,0.0016873040834387,0.0017175546868139,0.0050457395349168,0.0038412351293002,0.0034632307580252,0.186322722946954,0.0035003057721776,0.0024273155951359,0.0018355912880195,0.002156086938072,0.0010975053714356,0.118308752977973,0.0019846055057246,0.0019770481519271,0.0016046594901609,0.0041853417567532,0.0050841364734834,0.0022419056776808,0.0012404917765363,0.0011464998851562,0.0019284655963272,0.0049320144441881,0.017443510969123,0.0016456625795798,0.0028194035735139,0.0011394539932301,0.002602152430993,0.0014747201277229,0.0063712300571357,0.0028683295399752,0.0071276874792848,0.0018851819496912,0.0054333495600446,0.0296833916578931,0.0015671234216758,0.0204377915203903,0.0032283817316155,0.0114032496039821,,0.005764357383878,0.0106231960533177,0.002787653191844,0.0010975053714356,0.0019947854674909,0.0021595794708857,0.0100863034461998,0.0027079962543656,0.0033260340164834,0.002535251134665,0.0162518829716672,0.0026458223218531,0.0412986325290633,0.0061680023737964,0.0036510306282851,0.0025380759719787,0.0029511218306176,0.0052884390285974,0.0035271351870238,0.0034418519133125,0.0018998602333805,0.0161202248042475,0.0225314557905931,0.0300201675437765,0.0050118352104845,0.0031463569799564,0.004604154365728,0.0088632655993504,0.0022937490138317,0.0052039316689417,0.0025184851445,0.0073137623107478,,0.0026770267024687,0.0017757852901933,0.0047546943131058,0.0085554529706597,,0.0023258338009336,0.0027977876164339,0.0304998268546029,0.0030772694157068,0.0023271379712334,0.0017315492628977,0.0023445741866258,0.0410675471924037,0.0072063345697891,0.0153411242534041,0.0067921201401657,0.0021702905043212,0.0074092466193322,0.0011278956784139,0.0048629236661529,0.0037510758906709,0.003369648356854,0.0021119650057367,0.0026854945715977,0.0019809372186902,0.0377899615643251,0.0262477422720537,0.0296859271565404,0.0380642212426945,0.0375638340897788,0.0018616448626943,,0.0018908280143119,0.0025834023159448,0.0020005975516245,0.0030589836048672,0.0169234575358249,0.0213539060619533,0.0014960553140655,0.002493840638217,0.003114572657924,0.0296255494125992
oli_up1_r2,0.0040570094558569,0.011391402026889,0.0037431794235393,0.0043811576486604,0.0219070580098823,0.0068510980676456,0.0050025150672003,0.0134296582876493,0.0175297029937122,0.0037089883106372,0.0036487168264549,0.0150218083011914,0.0043773073214922,0.004422684100371,0.0920339463659432,0.0070222449995556,0.0039113867066795,0.003439177483581,0.0041547544076097,0.0038704909016241,,0.0038577686938274,0.0035150751142314,0.0036000328463206,0.0050035265301805,0.0071401696267141,0.0043761544022464,0.0034803264576359,0.0036899392789645,0.004005979272997,0.0063937060504783,0.0212157517676683,0.003806337509206,0.0041775612955878,0.0035520955698406,0.0051512953235461,0.0040224959485372,0.0269053006037433,0.0045090251480221,0.0106336455767711,0.0038429234044023,0.0112600698048047,0.125386887504767,0.0039323025333632,0.0222069354639813,0.0083305953338936,0.0088088105950917,,0.0065618956237399,0.0081059252133526,0.0048754777854125,0.0013295651615496,0.0050026525192543,0.0039538339355793,0.009060388073741,0.0037470376218645,0.0044543925357334,0.0041320559879323,0.0193779196516693,0.0064880981882807,0.0298073738346504,0.0058147327962738,0.0041328562603854,0.0060609846405086,0.0042482253975895,0.0087670699842227,0.0061719827003035,0.0147152425361685,0.0043445394597825,0.0196366625150945,0.0394332444450156,0.0271177715211408,0.0053665684420558,0.0055517709687485,0.0154405529972719,0.0305008637011339,0.0121021660258624,0.019825236076249,0.0051143338196069,0.0055683515555442,,0.0045138910781205,0.0024794447031625,0.005730072983481,0.0155502043156112,,0.0048030382870621,0.0077399599635145,0.0992341666611576,0.0047635846786081,0.0041929742936302,0.0035864308947862,0.0051119743990201,0.0854994011085827,0.0059148948473514,0.0170580307287091,0.0105879163044181,0.0041411840165717,0.0221510540617294,0.0041548162838904,0.0195650475728337,0.0029394245590779,0.0053204080961029,0.0039157886809684,0.0067309316062781,0.004431173529206,0.0180569074328136,0.0151885111052381,0.0145017673146593,0.0232170246497352,0.0188824287527798,0.0041086495616692,,0.0042662964192869,0.0051755276545761,0.0042611053873725,0.0065549304558567,0.0177882205088337,0.011140110597559,0.0039837381682446,0.008424461739847,0.0046882002095055,0.125690947948258
oli_up2_r1,0.0040860721671186,0.0108347129828611,0.0029588652454262,0.005618629908844,0.0181377293702787,0.0071354379177135,0.003964068834146,0.0077064730484737,0.0222303612176716,0.003486317500779,0.0032025660958747,0.0175796103260859,0.0042000410250202,0.0038810793322042,0.0481214181470271,0.0082889978696871,0.0041627631109025,0.0031884022175922,0.0040277928779104,0.0030080523400734,0.0623965589552313,0.0036233130176218,0.0030282307351904,0.0023584065386489,0.0044536650068114,0.0071554157088474,0.0047875372699801,0.0034891275612998,0.0031079913017554,0.0031377672365174,0.0054627769650308,0.020940891667204,0.0039034712474395,0.0038443346562863,0.0035732574518719,0.0043385060331088,0.0035280429291664,0.0372495073840307,0.0035775473831495,0.0141465781565526,0.0023439943298597,0.0166165436110533,0.0914166836148702,0.0033572844910962,0.0245554544158299,0.0051303542076397,0.0108000401241035,,0.0059131891935194,0.0069784979121708,0.0051049349772692,0.0010975053714356,0.0064057078607939,0.0036273445502987,0.0077976649773332,0.0032183998196496,0.0044605993976864,0.0037019400398081,0.0238331703435224,0.0033268967156221,0.0079270492469093,0.006412613992686,0.0033546160447616,0.0067605655026971,0.0032594396271896,0.0082791565527353,0.0049324888447812,0.0247061063641379,0.0035322375476035,0.0172793484168609,0.0293329481571901,0.019422041035838,0.0049757497761586,0.005692899806529,0.0212615020838389,0.0416389370763554,0.0105602558899275,0.0264606125016281,0.0054505538288716,0.0061645082859228,,0.0045206055689032,0.0035286915698559,0.005498798493036,0.0235617594417652,,0.0045515257146622,0.0072737438247659,0.116452518730168,0.0043827165212206,0.0038826259895316,0.0032774929593357,0.0041912083934711,0.107576437465715,0.0043853653366961,0.0111980211078545,0.0092289175664691,0.0044303924054959,0.0330089995442812,0.0034457109692024,0.010872259721242,0.004082045194348,0.0040647978510583,0.0034394931408247,0.0057329932170757,0.0028666167897147,0.0206614702124565,0.0175148162133766,0.0176511211706238,0.0237003783133104,0.0247141585570282,0.0039582044205009,,0.0033122971200186,0.0044260430845942,0.0033005155238824,0.0070103460269019,0.0144085055138169,0.0150141715829272,0.0036228637702703,0.0101002730379548,0.0038826557226363,0.0909490442491407
oli_up2_r2,0.0020814758245224,0.0114797834775145,0.0021174501831033,0.0033810854505416,0.0187729593231376,0.0058546311077918,0.0037834092499182,0.0095578916445566,0.0276106465405428,0.002354992690809,0.0020134404193637,0.0180604618583691,0.0038466814545951,0.0019351410007678,0.0358981610203319,0.0077206313845066,0.0026534978840808,0.0026234798749287,0.0023071489327291,0.0020876170748119,0.0622796337304724,0.0021768903717321,0.0016674351256144,0.0018812640238621,0.0030193638863504,0.0064847105450799,0.0026717435367671,0.0021572494532328,0.0014884536729098,0.0021039628897195,0.0060898398252769,0.0293462532287536,0.0025233198814717,0.0026333682885032,0.0030541361812644,0.0037869494673977,0.0023594245248824,0.044375877545234,0.0024364142977997,0.0103651684919265,0.0023438918090117,0.0138877126628611,0.0793241985437038,0.0025373243773363,0.0305576339399181,0.0042959980406258,0.0110359150895802,,0.0062447358761421,0.0065424854048985,0.002598097215522,0.0010975053714356,0.0044682670780342,0.0026013501097415,0.0068090659311428,0.0019376447514462,0.0015984519616638,0.0026709053988176,0.0268623773060777,0.0021616616662664,0.0084496647127596,0.0056680433111623,0.0025252007878839,0.0052996935801892,0.0020273209964943,0.0100710063708953,0.0043665096299837,0.031759176874077,0.0020580473554701,0.0176132098224759,0.0426530170027689,0.0187835947434744,0.0034216430198643,0.0029843204550194,0.0252900337584916,0.0339233972172184,0.0134250800511974,0.0268583266032917,0.0039984662284019,0.0038751402093787,,0.0024613334461691,0.0026221822393755,0.0037869633919283,0.024569395132286,,0.0030798562934986,0.006870746984699,0.112115690440038,0.0032924838012924,0.0030081898217601,0.0018426027390372,0.0039813127715069,0.103558046256633,0.0040407863140911,0.0135684942691358,0.0114290604236687,0.0035252071192009,0.0456542654621757,0.0033560118113447,0.0073358488253747,0.0016197627255917,0.00405244794332,0.0024358759163029,0.0051578576235842,0.0017966967613921,0.0118904939674521,0.011895054965978,0.0118965549433109,0.0178178868565581,0.0161817579369985,0.0010975053714356,,0.002465091874005,0.0040450301366528,0.002299093524033,0.0074146706496194,0.0159675220290224,0.0109889783805689,0.0019756898314923,0.0113492130571673,0.0024542737141885,0.092028127877372
oli_dw1_r1,0.0019924524670697,0.0089327657531001,0.0013097574734162,0.0029978288905714,0.0201931133035604,0.0034215879422591,0.0026553890514785,0.0067477085696343,0.0152786055432971,0.0018770724157399,0.001642146379802,0.0084625652183164,0.0024342758368188,0.0010975053714356,0.0513012454298804,0.0047546262773638,0.0024287705968544,0.0020629022505977,0.002232696015687,0.0010975053714356,0.065522095447307,0.0020994989233698,0.0016672046308654,0.0013039817056783,0.0028305883757225,0.0038386297694094,0.0025959866004576,0.0127029870206613,0.0010975053714356,0.0023950672244046,0.0051142181419477,0.0325501227757663,0.0015484598997294,0.001722061277861,0.0010975053714356,0.0028231851542316,0.0015283873183905,0.0150118532025021,0.0022980713123058,0.0092742521575071,0.0013237700941307,0.0077150782887519,0.0566770143587575,0.001841289313798,0.0297003056262514,0.0041405860263787,0.0120257487788391,,0.0053065930652764,0.0047674494729373,0.0025619049498613,0.0010975053714356,0.0026684108849657,0.001908856454573,0.010026189776354,0.0013407914044201,0.0032635370471729,0.002301966641705,0.018088809640608,0.0180159814012505,0.005373534915421,0.0070859911914398,0.002159150807731,0.0037839607896216,0.0025147383945794,0.0052248999007107,0.003572817680985,0.0121720910631637,0.0016926049060405,0.017823109678647,0.0330622767589553,0.0257188036602941,0.0035488082147014,0.0029987243750813,0.0134506839177208,0.0263673155232663,0.0065548915866043,0.014491805359701,0.0022157388924458,0.0026101881420235,,0.0030600728819443,0.0018789582774743,0.0028091804749788,0.214288588720219,,0.0024370849820219,0.0037396373381743,0.0414033826532335,0.0032446320948961,0.0018131149072283,0.0015503405608349,0.0034134534309928,0.059107336834523,0.0084165219281951,0.0132552978976603,0.0084533202312468,0.0029349752173452,0.0116289767345048,0.0020461364693678,0.0044303684444268,0.0196334818902945,0.0023315966605544,0.0015165979801045,0.0036365185083483,0.0019875291408664,0.0336538134840295,0.0240729660927261,0.0264743825027252,0.0413815158252477,0.034983141011341,0.0029181528952989,,0.0019331802681919,0.0032531094579377,0.001701015788184,0.0036638419656282,0.0173497295365694,0.0150076657269498,0.0013856712042044,0.0045690766101108,0.0029809435096158,0.050847957724711
oli_dw1_r2,0.0026860861987538,0.0145904214575068,0.002540528871344,0.0035211680963422,0.0310327175207617,0.0153250897967673,0.0035198405745404,0.0236537750879781,0.028591091096527,0.0025226966378214,0.0023820946468508,0.0170839918786967,0.0028364156095816,0.0031554359112895,0.069620944441804,0.0067192093435918,0.0030136787589848,0.0026034124029895,0.0027884043227265,0.0020633502693596,0.147078211505402,0.0028360498339935,0.0018536748373446,0.004410900083737,0.0032549694236706,0.0070624761966817,0.003421714654391,0.0083614389354031,0.00225508054076,0.0027475079300529,0.0061054880456331,0.0312132054865717,0.0027858141424935,0.0030746881959734,0.0021862010735732,0.0042115110498221,0.0028171938566644,0.0395576270328486,0.0032508725394774,0.0282937589165486,0.0023756672064762,0.0269275951414184,0.0970768294672131,0.0030848088314586,0.0259999764845136,0.0071402796655075,0.0109663372403839,,0.0060605786344295,0.009658846983399,0.0029674617004492,0.0010975053714356,0.005249932202495,0.0029639657644158,0.00899009469917,0.0022718347090779,0.0036459379336173,0.0028969896992067,0.0245560530753392,0.0079478533731257,0.0216309171621515,0.0063932844120938,0.0030759204127594,0.0087979817830227,0.0026543167425517,0.0090742780985566,0.0055741115194269,0.0284327088054355,0.0028070265130572,0.0219554773683086,0.0414919628319768,0.025270528889412,0.0045530219569479,0.004011798197553,0.042138364021105,0.0658012398571155,0.0254458869651778,0.0591760092057347,0.0036495096713378,0.0057816256807661,,0.003615246999109,0.003003883458222,0.0040669309516848,0.125403626237264,,0.0037711325550384,0.0058933823287227,0.0950660271808535,0.0032924628243542,0.0030697378967553,0.0025993375358695,0.004412502266414,0.102984139955806,0.0070015459381424,0.0164954537021191,0.011692246976869,0.0038290713396589,0.0292010221260003,0.0025661283509999,0.0124404122643818,0.0094539153281833,0.0036320761268849,0.0026660559982601,0.0068733460038363,0.0035388371666024,0.0318763690706154,0.0191852102113012,0.0202711701845997,0.0354984326807848,0.0269455916181797,0.0044157803761797,,0.0027315456100183,0.0041786671330965,0.0025485725766223,0.0071403428099807,0.018948162626193,0.0150361246766268,0.0025904236117905,0.0101509819677012,0.0031600245218623,0.117221105144416
air_up1_r1,0.0031743482825345,0.011156803305063,0.002437625693654,0.0035458540689246,0.0087984892713901,0.0095709858334682,0.0039462630681482,0.0106167639174799,0.0278342691986602,0.0023358290984106,0.0023628876868613,0.0137206723262551,0.0035454039727264,0.0018311390771965,0.0170061540050034,0.0077066247502676,0.0039933205523459,0.0030958317577957,0.0032150071892543,0.0022784192786146,0.0768638777823163,0.0023137586836182,0.0020064012374385,0.0031084594544181,0.0035505051587766,0.0055307855143997,0.0035997849702233,0.0022018290135423,0.0025049044649737,0.0018123746447102,0.0048051102316396,0.012486148723415,0.0025569406264126,0.0022917446682237,0.003018613042129,0.0034628012724353,0.0026986458772401,0.0362102327549144,0.0028887748512593,0.0222238155849283,0.0027601960261264,0.0278235895194174,0.0649872239982297,0.0028867360408957,0.0127794235979496,0.0052454892740484,0.0061103950511641,0.0028163537441199,0.0050201695490623,0.0052171296280944,0.002338977092517,0.0014690988351737,0.0065760734164016,0.0026488247185847,0.0052208435863112,0.0019915540838534,0.0036543515117158,0.0026609773588957,0.0171210680902483,0.0021186237492701,0.0081295862869885,0.0036077601330791,0.0028002531066985,0.0065363186871877,0.0026773242782794,0.0083493036437946,0.0034444822412133,0.0418426152074944,0.0022898703999667,0.0197660541775723,,,0.0028692986170021,0.0041249224630274,0.0296879557278518,0.168889221035127,0.0176983587640166,0.0428716623336638,0.0052594327925271,0.003675017069978,0.0386603690504889,0.0023222289486165,0.0027359085452849,0.0037300641805697,,0.007082155658777,0.0025871567606979,0.0089528240413183,0.0903740242678286,0.0025912566238289,0.0027696464324428,0.002190019203782,0.0035770887105832,0.0620052626640478,,,0.0143807216701706,0.0032080356336109,0.0276738510566912,0.0025083076756501,0.0039433933179779,0.0029448307862587,0.0035166608124909,0.0020743871357735,0.0042057991567181,0.0031401617071735,0.0069290357319197,0.007052024057722,0.0072694409596382,0.0110939438076173,0.0136496237489329,0.0026086697440328,1.15129254649702,0.0026355329751525,0.0032414750585861,0.0026220907742511,0.0061189047330722,0.0160731672696125,0.0087923203806727,0.002494621066309,0.0087670682183729,0.0025678292098708,0.0658434742907142
oli_dw2_r1,0.0020020494294633,0.0088278718172621,0.0016504244002104,0.0018274504795144,0.0134703228121163,0.0025015477410753,0.0025068193538755,0.0042957073644616,0.0078746038020535,0.0019905651382586,0.0018873505663148,0.0070610365102566,0.0025089904754183,0.0024936949928166,0.0271318298090837,0.0034396205586541,0.0022177401528003,0.0020553188902915,0.0030318324353135,0.0016134381129323,0.0621664681051401,0.0020235329968176,0.0012922538974089,0.0020394774268008,0.0036794896546017,0.0035775072626777,0.0028975288999525,0.0016727151588515,0.0015899933387994,0.0016689551497787,0.0055907631710062,0.023889844693888,0.0023866946629016,0.0025902418984529,0.0010975053714356,0.0028556442679123,0.0018698467866909,0.0047220389316862,0.0018593575391181,0.0061616622482084,0.0012114672391711,0.0059732359666106,0.0223743775323175,0.0023952425201956,0.0364656428901848,0.0035585100741813,0.0169363444585874,,0.0059423299906018,0.0026990533921922,0.0023407155089293,0.0010975053714356,0.001899032650482,0.0020005289464175,0.009819871238482,0.0018511033559842,0.0025761424769897,0.0026193342639319,0.0145146380928851,0.0036222153898646,0.017293082720672,0.0088855803339823,0.002461674854643,0.0017064455705979,0.0035849246008126,0.0048436690775894,0.0034579065402104,0.0029576223840379,0.0024986301793861,0.0112228631052956,0.0278902421347577,0.0235550185848039,0.0043581805607891,0.0041966999733308,0.0074590453650475,0.0097578639710588,0.0037837385001865,0.0053232886126865,0.0025523140353963,0.0049837408096046,,0.0041236808914818,0.001856525419025,0.0038205652751711,0.0501189259485659,,0.0023111660623733,0.0021828035083215,0.014241863318724,0.0015668226661798,0.0019125850981054,0.0020540951009713,0.0037182272631609,0.0332509704814689,0.0031303181644989,0.0148049414044399,0.0077853372302425,0.0021297889215047,0.0042941435997403,0.0021854093410306,0.0029295962053618,0.0052736903218296,0.0022008860017622,0.0018132121162168,0.0029851375856992,0.0021701826494516,0.0222756458807348,0.0144496615978662,0.0194643958134894,0.0297098531603242,0.0314290358697058,0.0020187334862132,,0.0020486548209391,0.0032824787220762,0.0021714109095715,0.0022763968308153,0.0192525265358282,0.0124309652595164,0.0016395700469433,0.0022901210156316,0.0026678693517132,0.020641301694817
oli_dw2_r2,0.0022780399705487,0.0096775934142462,0.0018956361818746,0.0026041445677469,0.0061371799531895,0.0020818550877898,0.0023843235361489,0.0032452328007892,0.0091239601481143,0.001649174476428,0.0019974764468188,0.0035771712943608,0.0027820888759437,0.0022263229630924,0.0924242368472434,0.0031884528432683,0.0022818024122047,0.0018149436229466,0.0032212159589866,0.0011260442886947,0.0803025681924407,0.0015811815620959,0.0018288074139017,0.0010975053714356,0.0036518752611553,0.0036378178079969,0.0022000588757187,0.0019927793635581,0.0013321681875241,0.0015026220576291,0.0044029960480258,0.0202344179725978,0.0020170855294205,0.0025342402319063,0.0010975053714356,0.0019767601106165,0.0017985302466099,0.0050369488914024,0.0020623375077234,0.0047291750893918,0.0010975053714356,0.0053555121180648,0.0412291586725968,0.0021395672612808,0.0333314708518793,0.0021613345825467,0.0145715737873113,,0.0054374033691147,0.0024466143471531,0.0023426279273681,0.0010975053714356,0.0013340616747542,0.0018564547257055,0.0090943083879495,0.0011027899787396,0.0013917814340289,0.0026202675868211,0.0145819826618595,0.0033233277604593,0.0325482206095356,0.0082398310855835,0.002139550647246,0.0017335860666957,0.0018877718478936,0.0049414115633957,0.0024142190836118,0.0032661765110173,0.001830481565902,0.011742978074446,0.0271702262580737,0.0228913696834679,0.003931536199237,0.0037372525036081,0.0065265020019384,0.009154002343247,0.0036425753601151,0.0055552135555874,0.0017909913553982,0.0041379886407001,,0.003105058549003,0.0016979100811455,0.0040665363130157,0.0401546579113003,,0.0019101893722041,0.0010975053714356,0.0105898722470106,0.0025348609123912,0.0017288201625591,0.0014645606800862,0.0028298595591395,0.0311449815082329,0.002290231302459,0.0129994326526803,0.0076621361058325,0.0018739552363948,0.0049771950801707,0.0016771382455781,0.0033625813923969,0.003380464828266,0.0019150431275221,0.0014802672055945,0.0025177287058887,0.0017347641500492,0.026249308078272,0.0156082562764404,0.0220328980364915,0.0329282904769763,0.0271779515222224,0.0018670335279443,,0.0019290614489972,0.0024624637359379,0.0021192785547008,0.0023213322972575,0.0165275767612694,0.0103114635443475,0.0012319961441993,0.0023733064845448,0.0024136843985852,0.0210908753090711
