compound,EC,ro,p_value,adjusted_p_value
Mesotrione,2.7.1.31,0.4014231287021568,0.001478585810185059,0.004535842954347052
Mesotrione,5.1.3.14,0.6361700406057252,4.69656409352686e-08,3.532046716363381e-07
Mesotrione,3.4.21.53,0.6382514922061708,4.113568291138574e-08,3.1058665147447695e-07
Mesotrione,2.7.7.27,0.720845904989066,8.318509021455652e-11,1.6851232191353152e-09
Mesotrione,1.1.1.136,0.7520282428333156,4.335884968413963e-12,1.2723549772542266e-10
Mesotrione,4.1.2.21,0.7117659494566878,1.826940544530769e-10,3.419328404146576e-09
Mesotrione,4.1.2.13,0.6371140368539016,4.423111822957425e-08,3.3330046408091144e-07
Mesotrione,3.5.1.19,0.7110216784396998,1.9460460014554098e-10,3.6234464209378815e-09
Mesotrione,2.4.2.29,0.7473014564903805,6.973541439632727e-12,1.9132955949099943e-10
Mesotrione,1.10.2.2,0.6910419313479043,9.881326297613008e-10,1.6146740299182306e-08
Mesotrione,1.1.1.65,0.5289056248296162,1.3967890212161118e-05,6.584353800049649e-05
Mesotrione,"1.1.1.304,1.1.1.76",0.808536713781552,5.6217435411441456e-15,8.290764658675296e-13
Mesotrione,3.5.2.6,0.701992176724161,4.1231466212460076e-10,7.244299142640704e-09
Mesotrione,2.7.7.6,0.6470901200167583,2.316873619909105e-08,1.9434798016307305e-07
Mesotrione,"1.4.1.13,1.4.1.14",0.7186236072885246,1.0113393040229068e-10,2.0340215086494344e-09
Mesotrione,"3.2.1.8,3.4.21.50",0.44994707860693456,0.0003098465900595569,0.0011144377623015353
Mesotrione,"5.4.2.11,5.4.2.12",0.40503334775687005,0.0013266397023595433,0.004116611248410781
Mesotrione,"2.7.1.2,2.7.1.59",0.7269544011638002,4.814712704025839e-11,1.0071941358896115e-09
Mesotrione,2.4.1.270,0.40246608717742227,0.0014331618501667693,0.004411071976815977
Mesotrione,4.2.1.130,0.34854989730976244,0.006348421345539774,0.016438156192682272
Mesotrione,"4.1.1.35,5.1.3.2,5.1.3.20,5.1.3.7",0.34082704583708495,0.007703411645098328,0.01946751377157616
Mesotrione,"3.4.11.1,3.4.11.5",0.46284970130288533,0.00019635220052401035,0.000736049367067261
Mesotrione,2.5.1.131,0.7284313253704847,4.209180857061643e-11,8.982865532848711e-10
Mesotrione,3.2.1.11,0.44585942702078274,0.0003566906341131897,0.0012648219591136559
Mesotrione,2.4.1.52,0.6845198324455094,1.6334293173909783e-09,2.5454958029434433e-08
Mesotrione,"1.3.8.1,1.3.99.12",0.31246203592539656,0.015073679941366883,0.034760271830749485
Mesotrione,2.6.1.66,0.6444500484913411,2.7555828920966317e-08,2.264647070685762e-07
Mesotrione,3.1.4.50,0.4741592199479311,0.00012966000968556325,0.0005048389759617314
Mesotrione,"2.4.1.14,3.1.3.24",0.7903797842327233,5.932551690668314e-14,5.028203200472562e-12
